,index,author,name,line,lemmed_line,name
42,3,Анатолий Жигулин,Золото,"Прислонившись к мокрой стене,",прислоняться к мокрый стена,Золото
43,3,Анатолий Жигулин,Золото,И мечтательно говорили,и мечтательный говорить,Золото
44,3,Анатолий Жигулин,Золото,Не о золоте — о весне.,не о золото о весна,Золото
45,3,Анатолий Жигулин,Золото,"И о том, что скоро, наверно,",и о то что скоро наверно,Золото
46,3,Анатолий Жигулин,Золото,На заливе вспотеет лед,на залив вспотеть лед,Золото
47,3,Анатолий Жигулин,Золото,"И, снега огласив сиреной,",и снег оглашать сирена,Золото
48,3,Анатолий Жигулин,Золото,Наконец придет пароход...,наконец прийти пароход,Золото
49,3,Анатолий Жигулин,Золото,"Покурили еще немного,",покурить еще немного,Золото
50,3,Анатолий Жигулин,Золото,Золотинки в кисет смели,золотинка в кисет сметь,Золото
51,3,Анатолий Жигулин,Золото,"И опять — по своим дорогам,",и опять по свой дорога,Золото
52,3,Анатолий Жигулин,Золото,К вагонеткам своим пошли.,к вагонетка свой пойти,Золото
53,3,Анатолий Жигулин,Золото,Что нам золото? В дни тяжелые,что мы золото в день тяжелый,Золото
54,3,Анатолий Жигулин,Золото,Я от жадности злой не слеп.,я от жадность злой не слепой,Золото
55,3,Анатолий Жигулин,Золото,"Самородки большие, желтые",самородок большой желтый,Золото
56,3,Анатолий Жигулин,Золото,Отдавал за табак и хлеб.,отдавать за табак и хлеб,Золото
57,3,Анатолий Жигулин,Золото,Не о золоте были мысли...,не о золото быть мысль,Золото
58,3,Анатолий Жигулин,Золото,В ночь таежную у костра,в ночь таежный у костер,Золото
59,3,Анатолий Жигулин,Золото,"Есть над чем поразмыслить в жизни,",быть над что поразмыслить в жизнь,Золото
60,3,Анатолий Жигулин,Золото,Кроме,кроме,Золото
61,3,Анатолий Жигулин,Золото,Золота-серебра.,золото серебро,Золото
62,4,Николай Тихонов,Хоровод в Сульдуси,"Хлынул дождь, когда девушки, встав в хоровод,",хлынуть дождь когда девушка вставать в хоровод,Хоровод в Сульдуси
63,4,Николай Тихонов,Хоровод в Сульдуси,"В старом Сульдуси, в Сульдуси пели,",в старый сульдусь в сульдусь петь,Хоровод в Сульдуси
64,4,Николай Тихонов,Хоровод в Сульдуси,"И казалось, что дождь все их ленты зальет,",и казаться что дождь весь их лента заливать,Хоровод в Сульдуси
65,4,Николай Тихонов,Хоровод в Сульдуси,Пояса из цветной канители.,пояс из цветной канитель,Хоровод в Сульдуси
66,4,Николай Тихонов,Хоровод в Сульдуси,"Пели девушки те на вечерней заре,",петь девушка тот на вечерний заря,Хоровод в Сульдуси
67,4,Николай Тихонов,Хоровод в Сульдуси,"Под грозой, хоровод не сужая,",под гроза хоровод не сужать,Хоровод в Сульдуси
68,4,Николай Тихонов,Хоровод в Сульдуси,Но мне слышалось в том дождевом серебре,но я слышаться в тот дождевой серебро,Хоровод в Сульдуси
69,4,Николай Тихонов,Хоровод в Сульдуси,Твое имя — не песня чужая.,твой имя не песня чужой,Хоровод в Сульдуси
70,4,Николай Тихонов,Хоровод в Сульдуси,"Пели девушки, ленты качая свои,",петь девушка лента качать свой,Хоровод в Сульдуси
71,4,Николай Тихонов,Хоровод в Сульдуси,"Дождь ходил полосами косыми,",дождь ходить полоса косой,Хоровод в Сульдуси
72,4,Николай Тихонов,Хоровод в Сульдуси,Мне ж звучало над песней неслышное им,я ж звучать над песня неслышный он,Хоровод в Сульдуси
73,4,Николай Тихонов,Хоровод в Сульдуси,Твое имя — далекое имя.,твой имя далекий имя,Хоровод в Сульдуси
74,4,Николай Тихонов,Хоровод в Сульдуси,"Люди слушали — песни струилось зерно,",человек слушать песня струиться зерно,Хоровод в Сульдуси
75,4,Николай Тихонов,Хоровод в Сульдуси,"Я стоял между ними, чужими,—",я стоять между они чужой,Хоровод в Сульдуси
76,4,Николай Тихонов,Хоровод в Сульдуси,"И над песней, как радуга, жило оно —",и над песня как радуга жить оно,Хоровод в Сульдуси
77,4,Николай Тихонов,Хоровод в Сульдуси,"Твое имя, веселое имя.",твой имя веселый имя,Хоровод в Сульдуси
78,5,Александр Межиров,Как я молод - и страх мне неведом...,"Как я молод - и страх мне неведом,",как я молодой и страх я неведомый,Как я молод - и страх мне неведом...
79,5,Александр Межиров,Как я молод - и страх мне неведом...,"Как я зол - и сам черт мне не брат,",как я злой и сам черт я не брат,Как я молод - и страх мне неведом...
80,5,Александр Межиров,Как я молод - и страх мне неведом...,Пораженьям своим и победам,поражение свой и победа,Как я молод - и страх мне неведом...
81,5,Александр Межиров,Как я молод - и страх мне неведом...,В одинаковой степени рад.,в одинаковый степень рад,Как я молод - и страх мне неведом...
82,5,Александр Межиров,Как я молод - и страх мне неведом...,"В драке бью без промашки под ребра,",в драка бить без промашка под ребро,Как я молод - и страх мне неведом...
83,5,Александр Межиров,Как я молод - и страх мне неведом...,"Хохочу окровавленным ртом,",хохотать окровавленный рот,Как я молод - и страх мне неведом...
84,5,Александр Межиров,Как я молод - и страх мне неведом...,"Все недобро во мне, все недобро.",весь недобро во я весь недобро,Как я молод - и страх мне неведом...
85,5,Александр Межиров,Как я молод - и страх мне неведом...,"...Я опомнюсь, опомнюсь потом.",я опоминаться опоминаться потом,Как я молод - и страх мне неведом...
86,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","В стране лучей, незримой нашим взорам,",в страна луч незримый наш взор,"В стране лучей, незримой нашим взорам..."
87,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...",Вокруг миров вращаются миры;,вокруг мир вращаться мир,"В стране лучей, незримой нашим взорам..."
88,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...",Там сонмы душ возносят стройным хором,там сонм душа возносить стройный хор,"В стране лучей, незримой нашим взорам..."
89,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...",Своих молитв немолчные дары;,свой молитва немолчный дар,"В стране лучей, незримой нашим взорам..."
90,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...",Блаженством там сияющие лики,блаженство там сиять лик,"В стране лучей, незримой нашим взорам..."
91,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Отвращены от мира суеты,",отвращать от мир суета,"В стране лучей, незримой нашим взорам..."
92,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Не слышны им земной печали клики,",не слышный они земной печаль клика,"В стране лучей, незримой нашим взорам..."
93,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...",Не видны им земные нищеты;,не видный они земной нищета,"В стране лучей, незримой нашим взорам..."
94,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Все, что они желали и любили,",все что они желать и любить,"В стране лучей, незримой нашим взорам..."
95,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Все, что к земле привязывало их,",все что к земля привязывать они,"В стране лучей, незримой нашим взорам..."
96,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Все на земле осталось горстью пыли,",все на земля оставаться горсть пыль,"В стране лучей, незримой нашим взорам..."
97,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","А в небе нет ни близких, ни родных.",а в небо нет ни близкие ни родные,"В стране лучей, незримой нашим взорам..."
98,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Но ты, о друг, лишь только звуки рая",но ты о друг лишь только звук рая,"В стране лучей, незримой нашим взорам..."
99,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Как дальний зов, в твою проникнут грудь,",как дальний зов в твой проникнутый грудь,"В стране лучей, незримой нашим взорам..."
100,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Ты обо мне подумай, умирая,",ты обо я подумать умирать,"В стране лучей, незримой нашим взорам..."
101,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...",И хоть на миг блаженство позабудь!,и хоть на миг блаженство позабывать,"В стране лучей, незримой нашим взорам..."
102,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Прощальный взор бросая нашей жизни,",прощальный взор бросать наш жизнь,"В стране лучей, незримой нашим взорам..."
103,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Душою, друг, вглядись в мои черты,",душа друг вглядываться в мой черта,"В стране лучей, незримой нашим взорам..."
104,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...",Чтобы узнать в заоблачной отчизне,чтобы узнавать в заоблачный отчизна,"В стране лучей, незримой нашим взорам..."
105,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Кого звала, кого любила ты,",кто звать кто любить ты,"В стране лучей, незримой нашим взорам..."
106,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...",Чтобы не мог моей молящей речи,чтобы не мочь мой молить речь,"В стране лучей, незримой нашим взорам..."
107,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Небесный хор навеки заглушить,",небесный хор навеки заглушать,"В стране лучей, незримой нашим взорам..."
108,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...","Чтобы тебе, до нашей новой встречи,",чтобы ты до наш новый встреча,"В стране лучей, незримой нашим взорам..."
109,6,Алексей Толстой,"В стране лучей, незримой нашим взорам...",В стране лучей и помнить и грустить!,в страна луч и помнить и грустить,"В стране лучей, незримой нашим взорам..."
110,7,Сергей Городецкий,Веснянка,"Жутко мне от вешней радости,",жутко я от вешний радость,Веснянка
111,7,Сергей Городецкий,Веснянка,"От воздушной этой сладости,",от воздушный этот сладость,Веснянка
112,7,Сергей Городецкий,Веснянка,"И от звона, и от грома",и от звон и от гром,Веснянка
113,7,Сергей Городецкий,Веснянка,Ледолома,ледолом,Веснянка
114,7,Сергей Городецкий,Веснянка,На реке,на река,Веснянка
115,7,Сергей Городецкий,Веснянка,Сердце бьется налегке.,сердце биться налегке,Веснянка
116,7,Сергей Городецкий,Веснянка,"Солнце вешнее улыбчиво,",солнце вешний улыбчивый,Веснянка
117,7,Сергей Городецкий,Веснянка,Сердце девичье узывчиво.,сердце девичий узывчивый,Веснянка
118,7,Сергей Городецкий,Веснянка,Эта сладкая истома,этот сладкий истома,Веснянка
119,7,Сергей Городецкий,Веснянка,Незнакома,незнакомый,Веснянка
120,7,Сергей Городецкий,Веснянка,"И страшна,-",и страшный,Веснянка
121,7,Сергей Городецкий,Веснянка,Пала на сердце весна!,пасть на сердце весна,Веснянка
122,7,Сергей Городецкий,Веснянка,"Верба, ягода пушистая,",верба ягода пушистый,Веснянка
123,7,Сергей Городецкий,Веснянка,"Верба, ласковая, чистая!",верба ласковый чистый,Веснянка
124,7,Сергей Городецкий,Веснянка,"Я бы милого вспугнула,",я бы милый вспугивать,Веснянка
125,7,Сергей Городецкий,Веснянка,"Хлестанула,",хлестануть,Веснянка
126,7,Сергей Городецкий,Веснянка,"Обожгла,",обжигать,Веснянка
127,7,Сергей Городецкий,Веснянка,В лес кружиться увела!,в лес кружиться уводить,Веснянка
128,7,Сергей Городецкий,Веснянка,"Я бы, встретивши кудрявого,",я бы встречать кудрявый,Веснянка
129,7,Сергей Городецкий,Веснянка,Из-за облака дырявого,из за облако дырявый,Веснянка
130,7,Сергей Городецкий,Веснянка,Вихрем волосы раздула,вихорь волос раздувать,Веснянка
131,7,Сергей Городецкий,Веснянка,И шепнула:,и шепнуть,Веснянка
132,7,Сергей Городецкий,Веснянка,"""Милый, на!",милый на,Веснянка
133,7,Сергей Городецкий,Веснянка,"Чем тебе я не весна?""",чем ты я не весна,Веснянка
134,8,Александр Сумароков,В роще девки гуляли...,В роще девки гуляли,в роща девка гулять,В роще девки гуляли...
135,8,Александр Сумароков,В роще девки гуляли...,"Калина ли моя, малина ли моя!",калина ли мой малина ли мой,В роще девки гуляли...
136,8,Александр Сумароков,В роще девки гуляли...,И весну прославляли.,и весна прославлять,В роще девки гуляли...
